candidate_id,rank,score,score_evidence_only,semantic_fit_score,score_evidence,score_supporting,score_fit,score_behavior,score_penalty,career_core,relevant_career_roles,relevant_career_months,total_career_months,consulting_months,product_months,product_company_history,title_trajectory,job_stability,skill_corroboration,negative_flags,anomaly_flags,anomaly_confidence,anomaly_action,semantic_model,semantic_top_concepts
CAND_0044222,30,0.89123843,0.92026473,0.80415953,0.66866667,0.04890000,0.17276000,0.02993807,0.00000000,10,2,92,92,0,92,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0013613,31,0.88971265,0.93181703,0.76339951,0.79100000,0.03210000,0.14259000,0.02612703,0.06000000,12,3,55,55,0,55,1.0,0.5000,0.8583,0.4000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0062247,32,0.87308861,0.91393438,0.75055128,0.66166667,0.04110000,0.18204000,0.02912771,0.00000000,10,2,87,87,0,87,1.0,0.5000,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization
CAND_0093912,33,0.85749928,0.91001100,0.69996413,0.66166667,0.04230000,0.17422000,0.03182433,0.00000000,10,3,62,62,0,62,1.0,0.6250,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization
CAND_0088025,34,0.85635438,0.89617360,0.73689673,0.64616667,0.05090000,0.16622000,0.03288693,0.00000000,8,3,102,102,0,102,1.0,0.6250,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0050454,35,0.85274705,0.90446333,0.69759820,0.66166667,0.02910000,0.18600000,0.02769667,0.00000000,10,3,81,81,0,81,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization
CAND_0018722,36,0.85082023,0.88361580,0.75243352,0.66166667,0.02790000,0.16260000,0.03144913,0.00000000,10,3,78,78,0,78,1.0,0.5000,1.0000,0.4000,,,0.00,none,deterministic-domain-embedding,ranking evaluation and experimentation;semantic retrieval and information retrieval;end-to-end ownership
CAND_0039383,37,0.84508170,0.88177423,0.73500412,0.62866667,0.04770000,0.17800000,0.02740757,0.00000000,10,3,84,84,0,84,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0070485,38,0.84443441,0.87174780,0.76249426,0.66166667,0.01950000,0.16476000,0.02582113,0.00000000,10,2,76,76,0,76,1.0,0.5000,1.0000,0.4000,,,0.00,none,deterministic-domain-embedding,semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization
CAND_0005538,39,0.84336814,0.88122600,0.72979456,0.67033333,0.01680000,0.16259500,0.03149767,0.00000000,9,4,69,69,0,69,1.0,0.5000,0.9375,0.2000,research_only,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0051630,40,0.84275561,0.87623157,0.74232774,0.66166667,0.02550000,0.16876000,0.02030490,0.00000000,10,2,71,71,0,71,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization
CAND_0068811,41,0.83184295,0.86874645,0.72113246,0.63166667,0.02420000,0.18600000,0.02687978,0.00000000,9,2,44,95,0,95,1.0,0.5000,1.0000,0.2000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0044855,42,0.82620578,0.83517670,0.79929304,0.58266667,0.04970000,0.18054000,0.02227003,0.00000000,9,2,47,78,0,78,1.0,0.6250,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,ranking evaluation and experimentation;production scale and operations;semantic retrieval and information retrieval
CAND_0054394,43,0.82529196,0.83666167,0.79118286,0.66166667,0.03510000,0.17004000,0.02985500,0.06000000,10,2,48,48,0,48,1.0,0.5000,1.0000,0.4000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,ranking evaluation and experimentation;semantic retrieval and information retrieval;end-to-end ownership
CAND_0026532,44,0.82256006,0.81752717,0.83765873,0.59666667,0.03750000,0.15808000,0.02528050,0.00000000,8,2,56,56,0,56,1.0,0.5000,1.0000,0.4000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0064326,45,0.82000984,0.86933223,0.67204267,0.60700000,0.04760000,0.18200000,0.03273223,0.00000000,11,3,67,91,0,91,1.0,0.5000,1.0000,0.4000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0096172,46,0.81782240,0.81857379,0.81556821,0.59666667,0.03150000,0.16772000,0.02268712,0.00000000,8,2,61,61,0,61,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0030827,47,0.80516200,0.81999223,0.76067132,0.66166667,0.04110000,0.15056000,0.02666557,0.06000000,10,2,64,64,0,64,1.0,0.6250,1.0000,0.8000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization
CAND_0075249,48,0.80384592,0.79258431,0.83763074,0.55666667,0.03510000,0.17276000,0.02805765,0.00000000,8,2,74,74,0,74,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0076904,49,0.80271512,0.81313217,0.77146399,0.66166667,0.04230000,0.14364000,0.02552550,0.06000000,10,2,49,49,0,49,1.0,0.6250,1.0000,0.6000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,ranking evaluation and experimentation;semantic retrieval and information retrieval;end-to-end ownership
CAND_0041669,50,0.80151769,0.81232357,0.76910008,0.57100000,0.03140000,0.17945000,0.03047357,0.00000000,9,2,43,95,0,95,1.0,0.5000,0.8583,0.2000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0032515,51,0.79394435,0.82906440,0.68858421,0.67766667,0.03180000,0.15606000,0.02353773,0.06000000,10,2,38,60,0,60,1.0,0.5000,1.0000,0.2000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0011162,52,0.79231065,0.81443647,0.72593320,0.63766667,0.03780000,0.16900000,0.02996980,0.06000000,10,2,40,68,0,68,1.0,0.5000,1.0000,0.2000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0041568,53,0.78938791,0.78425400,0.80478964,0.57100000,0.03500000,0.15206000,0.02619400,0.00000000,9,2,47,61,0,61,1.0,0.5000,1.0000,0.2000,,,0.00,none,deterministic-domain-embedding,ranking evaluation and experimentation;production scale and operations;end-to-end ownership
CAND_0006567,54,0.78812219,0.79193353,0.77668816,0.55183333,0.02640000,0.18200000,0.03170020,0.00000000,9,3,94,94,0,94,1.0,0.5000,1.0000,0.4000,research_only,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0031593,55,0.78543958,0.79548720,0.75529671,0.57100000,0.02420000,0.17404000,0.02624720,0.00000000,9,2,71,92,0,92,1.0,0.5000,1.0000,0.2000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0041610,56,0.77909319,0.80258577,0.70861546,0.56266667,0.02900000,0.18091500,0.03000410,0.00000000,7,2,38,79,0,79,1.0,0.5000,0.9375,0.4000,,,0.00,none,deterministic-domain-embedding,production scale and operations;end-to-end ownership;ranking and relevance optimization
CAND_0042100,57,0.77817100,0.79035426,0.74162125,0.56366667,0.03900000,0.16010000,0.02758759,0.00000000,10,2,86,86,0,86,1.0,0.3750,1.0000,0.4000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0094056,58,0.77411329,0.76567615,0.79942471,0.53733333,0.04230000,0.16350000,0.02254281,0.00000000,5,1,36,70,0,70,1.0,0.5000,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,production scale and operations;semantic retrieval and information retrieval;end-to-end ownership
CAND_0022812,59,0.77278390,0.78673333,0.73093561,0.63766667,0.02940000,0.15953000,0.02013667,0.06000000,10,2,47,53,0,53,1.0,0.5000,0.8583,0.0000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0075574,60,0.77267799,0.79372553,0.70953535,0.60700000,0.04640000,0.17045000,0.02987553,0.06000000,11,2,60,68,0,68,1.0,0.5000,0.8583,0.4000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0076251,61,0.76970968,0.77525933,0.75306071,0.53733333,0.03870000,0.17404000,0.02518600,0.00000000,5,1,30,91,0,91,1.0,0.5000,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,production scale and operations;semantic retrieval and information retrieval;end-to-end ownership
CAND_0030348,62,0.76932085,0.75277167,0.81896841,0.59666667,0.02670000,0.16354000,0.02586500,0.06000000,8,2,53,53,0,53,1.0,0.3750,1.0000,0.6000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0058575,63,0.76486320,0.76306473,0.77025859,0.60333333,0.02930000,0.16250000,0.02793140,0.06000000,6,1,24,69,0,69,1.0,0.5000,1.0000,0.4000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0098846,64,0.76485748,0.78593354,0.70162932,0.56266667,0.02180000,0.17195667,0.02951020,0.00000000,7,1,25,90,0,90,1.0,0.5000,1.0000,0.2000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0066376,65,0.76278470,0.73939500,0.83295382,0.55666667,0.04470000,0.17046000,0.02756833,0.06000000,8,2,67,67,0,67,1.0,0.3750,1.0000,0.6000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0030468,66,0.76147691,0.76528517,0.75005216,0.58950000,0.03120000,0.17300000,0.03158517,0.06000000,7,3,64,64,0,64,1.0,0.5000,1.0000,0.6000,research_only,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0099401,67,0.75992847,0.77785527,0.70614807,0.56566667,0.01680000,0.17404000,0.02134860,0.00000000,8,2,41,90,0,90,1.0,0.5000,1.0000,0.0000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0011687,68,0.75505072,0.72133530,0.85619699,0.45100000,0.06090000,0.17676000,0.03267530,0.00000000,5,2,92,92,0,92,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0054123,69,0.75420920,0.72131612,0.85288842,0.55666667,0.03870000,0.16109000,0.02485946,0.06000000,8,2,55,55,0,55,1.0,0.5000,0.7250,0.6000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,ranking evaluation and experimentation;production scale and operations;semantic retrieval and information retrieval
CAND_0069905,70,0.75032105,0.74530230,0.76537731,0.50266667,0.03890000,0.17404000,0.02969563,0.00000000,6,2,65,78,0,78,1.0,0.5000,1.0000,0.6000,,,0.00,none,deterministic-domain-embedding,ranking evaluation and experimentation;semantic retrieval and information retrieval;end-to-end ownership
CAND_0007411,71,0.74700074,0.70958600,0.85924497,0.45100000,0.06690000,0.18204000,0.00964600,0.00000000,5,2,95,95,0,95,1.0,0.5000,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0006557,72,0.74324048,0.72429533,0.80007594,0.50500000,0.02280000,0.17004000,0.02645533,0.00000000,8,2,94,94,0,94,1.0,0.5000,1.0000,0.0000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0018549,73,0.74033573,0.72700213,0.78033652,0.50500000,0.01560000,0.17804000,0.02836213,0.00000000,8,2,81,81,0,81,1.0,0.5000,1.0000,0.0000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0002025,74,0.73907696,0.71095323,0.82344814,0.46766667,0.03900000,0.17172000,0.03256657,0.00000000,6,2,70,70,0,70,1.0,0.5000,1.0000,0.0000,,,0.00,none,deterministic-domain-embedding,production scale and operations;end-to-end ownership;ranking and relevance optimization
CAND_0000031,75,0.73614191,0.76792510,0.64079234,0.52366667,0.03300000,0.18200000,0.02925844,0.00000000,10,4,70,70,0,70,1.0,0.5000,1.0000,0.2000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0007412,76,0.73337121,0.76859350,0.62770432,0.52700000,0.03800000,0.17391000,0.02968350,0.00000000,11,2,27,87,0,87,1.0,0.5000,0.9950,0.4000,,,0.00,none,deterministic-domain-embedding,ranking evaluation and experimentation;production scale and operations;end-to-end ownership
CAND_0070202,77,0.73176160,0.71164367,0.79211542,0.50500000,0.02040000,0.16372000,0.02252367,0.00000000,8,2,61,61,0,61,1.0,0.5000,1.0000,0.2000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0066999,78,0.72928798,0.72333490,0.74714723,0.49666667,0.01920000,0.17846000,0.02900823,0.00000000,6,1,49,70,0,70,1.0,0.3750,1.0000,0.0000,,,0.00,none,deterministic-domain-embedding,production scale and operations;end-to-end ownership;ranking and relevance optimization
CAND_0077285,79,0.72547325,0.71739860,0.74969720,0.47866667,0.04400000,0.16517000,0.02956193,0.00000000,6,1,42,65,0,65,1.0,0.5000,0.8583,0.2000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0014440,80,0.72485402,0.72143983,0.73509656,0.49666667,0.02040000,0.17276000,0.03161317,0.00000000,6,2,62,76,0,76,1.0,0.5000,1.0000,0.0000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0027801,81,0.72026650,0.70103113,0.77797260,0.45733333,0.04110000,0.17400000,0.02859780,0.00000000,5,2,53,87,0,87,1.0,0.5000,1.0000,0.8000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval
CAND_0068351,82,0.71533359,0.71830950,0.70640587,0.48433333,0.02760000,0.18345000,0.02292617,0.00000000,7,3,76,76,0,76,1.0,0.5000,0.8583,0.4000,research_only,,0.00,none,deterministic-domain-embedding,ranking evaluation and experimentation;production scale and operations;semantic retrieval and information retrieval
CAND_0010257,83,0.71392246,0.71578850,0.70832436,0.48166667,0.02940000,0.17400000,0.03072183,0.00000000,7,2,40,77,0,77,1.0,0.5000,1.0000,0.2000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0049538,84,0.71282804,0.71356063,0.71063028,0.49666667,0.02280000,0.16917000,0.02492397,0.00000000,6,1,40,68,0,68,1.0,0.5000,0.8583,0.2000,,,0.00,none,deterministic-domain-embedding,production scale and operations;end-to-end ownership;ranking and relevance optimization
CAND_0047721,85,0.71033659,0.68250160,0.79384158,0.46500000,0.01920000,0.17654000,0.02176160,0.00000000,8,2,84,84,0,84,1.0,0.6250,1.0000,0.2000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0064270,86,0.70619522,0.69203500,0.74867588,0.52366667,0.04260000,0.16604000,0.01972833,0.06000000,10,2,50,50,0,50,1.0,0.5000,1.0000,0.4000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0050876,87,0.70405458,0.71595010,0.66836801,0.50500000,0.01440000,0.16621000,0.03034010,0.00000000,8,3,71,71,0,71,1.0,0.5000,0.8583,0.0000,,,0.00,none,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0016163,88,0.70087305,0.68763734,0.74058018,0.45733333,0.02670000,0.17400000,0.02960400,0.00000000,5,1,40,79,0,79,1.0,0.5000,1.0000,0.4000,,,0.00,none,deterministic-domain-embedding,production scale and operations;semantic retrieval and information retrieval;end-to-end ownership
CAND_0079064,89,0.69985708,0.67913447,0.76202492,0.50266667,0.03410000,0.17146000,0.03090780,0.06000000,6,1,44,62,0,62,1.0,0.6250,1.0000,0.4000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization
CAND_0030031,90,0.69750648,0.69387240,0.70840872,0.52166667,0.03540000,0.17172000,0.02508574,0.06000000,7,2,40,67,0,67,1.0,0.5000,1.0000,0.2000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,production scale and operations;ranking evaluation and experimentation;end-to-end ownership
CAND_0078042,91,0.69747767,0.67395527,0.76804488,0.52366667,0.03660000,0.14914000,0.02454860,0.06000000,10,2,56,56,0,56,1.0,0.5000,1.0000,0.2000,,skill_duration_exceeds_profile_experience:penalize,0.65,penalize,deterministic-domain-embedding,ranking evaluation and experimentation;production scale and operations;end-to-end ownership
CAND_0024620,92,0.69551022,0.68876980,0.71573149,0.49666667,0.01320000,0.15089333,0.02800980,0.00000000,6,1,14,70,0,70,1.0,0.5000,1.0000,0.0000,,,0.00,none,deterministic-domain-embedding,production scale and operations;end-to-end ownership;ranking and relevance optimization
CAND_0052335,93,0.69522758,0.67739390,0.74872860,0.46200000,0.02060000,0.16660000,0.02819390,0.00000000,7,1,44,76,0,76,1.0,0.5000,1.0000,0.2000,,,0.00,none,deterministic-domain-embedding,ranking evaluation and experimentation;end-to-end ownership;ranking and relevance optimization
