candidate_id,rank,score,reasoning
CAND_0050454,37,0.92786000,"6.8 years; AI Engineer at Rephrase.ai, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0088025,38,0.92471653,"8.6 years; Staff Machine Learning Engineer at Yellow.ai, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0071974,39,0.92186843,"7.8 years; Senior AI Engineer at Netflix, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 45-day notice period."
CAND_0083307,40,0.91316240,"7.8 years; Search Engineer at CRED, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 120-day notice period."
CAND_0011162,41,0.90179927,"5.8 years; Recommendation Systems Engineer at upGrad, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: 90-day notice period."
CAND_0051630,42,0.89685630,"6.0 years; Machine Learning Engineer at Razorpay, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0070485,43,0.89644860,"6.4 years; Search Engineer at Saarthi.ai, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 120-day notice period."
CAND_0076904,44,0.89621850,"4.2 years; Senior Data Scientist at Nykaa, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0030827,45,0.89488430,"5.4 years; Senior Data Scientist at Freshworks, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 120-day notice period."
CAND_0039383,46,0.88948830,"7.1 years; Applied ML Engineer at Meesho, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0005538,47,0.88509700,"5.9 years; Senior AI Engineer at Adobe, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0058575,48,0.85651180,"5.8 years; AI Engineer at Krutrim, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0022812,49,0.85095667,"4.5 years; Applied ML Engineer at Dream11, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: 60-day notice period."
CAND_0026532,50,0.84965350,"4.8 years; Recommendation Systems Engineer at Zomato, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0064326,51,0.84925097,"7.6 years; Search Engineer at Sarvam AI, with hands-on ranking or recommendation work, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 45-day notice period."
CAND_0096172,52,0.84351916,"5.2 years; NLP Engineer at Krutrim, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 45-day notice period."
CAND_0032515,53,0.84327947,"5.1 years; Machine Learning Engineer at PharmEasy, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: 45-day notice period."
CAND_0041610,54,0.84191003,"6.7 years; Recommendation Systems Engineer at Zoho, with hands-on ranking or recommendation work, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0069905,55,0.84059677,"6.6 years; Applied ML Engineer at Sarvam AI, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0030348,56,0.84040500,"4.5 years; Machine Learning Engineer at BYJU'S, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 45-day notice period."
CAND_0044855,57,0.83704957,"6.6 years; Senior Data Scientist at Flipkart, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0068811,58,0.83539305,"8.0 years; Applied ML Engineer at Freshworks, with hands-on ranking or recommendation work, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0094056,59,0.83475029,"5.9 years; NLP Engineer at Rephrase.ai, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 120-day notice period."
CAND_0075574,60,0.83367807,"5.7 years; Machine Learning Engineer at Haptik, with hands-on ranking or recommendation work, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0066376,61,0.81879500,"5.7 years; Applied ML Engineer at Dream11, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0075249,62,0.81082412,"6.2 years; Applied ML Engineer at Zomato, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 45-day notice period."
CAND_0054123,63,0.80511216,"4.7 years; Applied ML Engineer at Meta, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0000031,64,0.80428466,"6.0 years; Recommendation Systems Engineer at Swiggy, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: 60-day notice period."
CAND_0041669,65,0.80384697,"8.0 years; Recommendation Systems Engineer at CRED, with hands-on ranking or recommendation work, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0030468,66,0.80145950,"5.4 years; Senior Applied Scientist at Swiggy, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 45-day notice period."
CAND_0076251,67,0.79713200,"7.6 years; Search Engineer at Haptik, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0079064,68,0.78225527,"5.2 years; Senior Data Scientist at Niramai, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 120-day notice period."
CAND_0007412,69,0.77883117,"7.4 years; Applied ML Engineer at Zoho, with hands-on ranking or recommendation work, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 120-day notice period."
CAND_0031593,70,0.77841307,"7.8 years; Search Engineer at Genpact AI, with hands-on ranking or recommendation work, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0020877,71,0.77762619,"5.1 years; Applied ML Engineer at CRED, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0098846,72,0.77317780,"7.6 years; AI Engineer at upGrad, with hands-on ranking or recommendation work, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 45-day notice period."
CAND_0041568,73,0.76969467,"5.2 years; Search Engineer at Haptik, with hands-on ranking or recommendation work, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0029367,74,0.76906677,"5.7 years; Senior Data Scientist at Rephrase.ai, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0007009,75,0.76745922,"7.9 years; Recommendation Systems Engineer at Wysa, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0066999,76,0.76506297,"5.9 years; Recommendation Systems Engineer at Microsoft, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: limited explicit vector-infrastructure evidence."
CAND_0014440,77,0.76081217,"6.4 years; Recommendation Systems Engineer at CRED, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: 60-day notice period."
CAND_0042100,78,0.75863642,"7.3 years; Machine Learning Engineer at Freshworks, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: 90-day notice period."
CAND_0077285,79,0.75794153,"5.5 years; Recommendation Systems Engineer at Nykaa, with hands-on ranking or recommendation work, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0040887,80,0.75741357,"4.7 years; Machine Learning Engineer at Netflix, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: location/relocation fit is weak."
CAND_0027801,81,0.75718527,"7.4 years; NLP Engineer at InMobi, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 120-day notice period."
CAND_0036184,82,0.75506557,"6.0 years; Recommendation Systems Engineer at CRED, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0006567,83,0.75434073,"7.9 years; Senior AI Engineer at Meta, with career evidence across ranking and retrieval, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: 60-day notice period."
CAND_0011687,84,0.75001110,"7.8 years; Senior NLP Engineer at Niramai, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0049538,85,0.74931177,"5.8 years; Applied ML Engineer at Saarthi.ai, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: limited explicit vector-infrastructure evidence."
CAND_0099401,86,0.74211487,"7.7 years; NLP Engineer at Dream11, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: 90-day notice period."
CAND_0007411,87,0.72940200,"8.0 years; Senior Machine Learning Engineer at Amazon, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: stale platform activity."
CAND_0024620,88,0.72433482,"5.9 years; AI Engineer at PharmEasy, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: 45-day notice period."
CAND_0036863,89,0.72169567,"4.3 years; Senior Data Scientist at upGrad, with hands-on ranking or recommendation work, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0003977,90,0.71818517,"4.6 years; Recommendation Systems Engineer at Google, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 45-day notice period."
CAND_0018549,91,0.71196560,"6.8 years; Recommendation Systems Engineer at Uber, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: 60-day notice period."
CAND_0006557,92,0.71051400,"7.9 years; NLP Engineer at Paytm, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: 120-day notice period."
CAND_0064270,93,0.70543167,"4.2 years; Applied ML Engineer at Verloop.io, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: 45-day notice period."
CAND_0030031,94,0.70501976,"5.7 years; AI Engineer at Microsoft, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: limited explicit vector-infrastructure evidence."
CAND_0065878,95,0.70079650,"7.8 years; Senior Data Scientist at Niramai, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: limited explicit vector-infrastructure evidence."
CAND_0050876,96,0.69800870,"6.0 years; Applied ML Engineer at Freshworks, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: 90-day notice period."
CAND_0036437,97,0.69705407,"4.8 years; Search Engineer at Rephrase.ai, with hands-on ranking or recommendation work, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: limited explicit vector-infrastructure evidence."
CAND_0016163,98,0.69697896,"6.7 years; Applied ML Engineer at Dream11, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 120-day notice period."
CAND_0068351,99,0.69630983,"6.4 years; Lead AI Engineer at Sarvam AI, with career evidence across ranking and retrieval, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: limited explicit vector-infrastructure evidence."
CAND_0002025,100,0.69538797,"5.9 years; Senior AI Engineer at Apple, with career evidence across ranking and retrieval, offline/online evaluation or A/B testing, production ownership and measurable delivery. Main concern: limited explicit vector-infrastructure evidence."
