rank,candidate_id,score,evidence_only,semantic_score,semantic_model,current_title,current_company,years,location,country,career_core,relevant_roles,relevant_months,total_months,title_relevant,experience_fit,location_fit,behavior_fit,notice_fit,job_stability,title_trajectory,skill_corroboration,keyword_stuffer,consulting_only,cv_only,research_only,negative_flags,anomaly_flags,anomaly_action,top_concepts,reasoning,strengths,concerns,skills,career_summary
11,CAND_0080766,1.0201576254196414,1.0982227333333332,0.7859623016785662,local-sentence-transformer,Staff Machine Learning Engineer,Salesforce,8.8,"Coimbatore, Tamil Nadu",India,14,4,105,105,True,0.88,0.82,0.6435066666666668,1.0,1.0,0.625,0.6,False,False,False,False,research_only,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Salesforce role Staff Machine Learning Engineer; 8.8 years total. Relevant fit comes from Senior Machine Learning Engineer at Haptik: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). Additional evidence: Staff Machine Learning Engineer at Aganitha: Owned the search and discovery experience end-to-end at a consumer product, from how content is represented internally through to how the most relevant results appear for each user's intent. Rank is based on shipped retrieval/ranking work rather than skill-list claims. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Senior Machine Learning Engineer at Haptik: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain) | Staff Machine Learning Engineer at Aganitha: Owned the search and discovery experience end-to-end at a consumer product, from how content is represented internally through to how the most relevant results appear for each user's intent | evaluation evidence: The new system reduced p95 retrieval latency by 60% while improving NDCG@10 by 18% on our held-out eval set",,"Search Backend, LoRA, Vue.js, Tally, Search & Discovery, MLOps, Search Infrastructure, MLflow, Open-source ML libraries, Information Retrieval Systems","Staff Machine Learning Engineer at Salesforce: Shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time. Designed the offline experimentation environment, the online A/B testing framewo | Staff Machine Learning Engineer at Aganitha: Owned the search and discovery experience end-to-end at a consumer product, from how content is represented internally through to how the most relevant results appear for each user's intent. The work  | Lead AI Engineer at Swiggy: Designed the ranking layer for the company's flagship product: how do we surface the right thing at the right time, across millions of items, for millions of users. The hard problem was rarely the mod"
12,CAND_0018499,1.0136775603026886,1.0763618000000001,0.8256248412107536,local-sentence-transformer,Senior Machine Learning Engineer,Zomato,7.2,"Noida, Uttar Pradesh",India,11,3,86,86,True,1.0,1.0,0.8808133333333334,1.0,1.0,0.5,0.6,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"7.2 years in the profile and currently Senior Machine Learning Engineer at Zomato. Key career evidence is Senior Machine Learning Engineer at Zomato: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. The profile also shows Staff Machine Learning Engineer at Google: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. Overall fit is strong for product ML ownership and ranking evaluation. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Senior Machine Learning Engineer at Zomato: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight | Staff Machine Learning Engineer at Google: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product | relevant work spans 3 roles and about 7 years",,"Deep Learning, Weaviate, Recommendation Systems, scikit-learn, Diffusion Models, Pinecone, Information Retrieval, Milvus, QLoRA, RAG","Senior Machine Learning Engineer at Zomato: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an | Staff Machine Learning Engineer at Google: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an | Senior Machine Learning Engineer at Flipkart: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from re"
13,CAND_0092278,0.9955482522654151,1.0500828333333334,0.8319445090616602,local-sentence-transformer,Senior NLP Engineer,Microsoft,6.8,"Pune, Maharashtra",India,14,3,80,80,True,1.0,1.0,0.21570000000000003,0.5,1.0,0.5,0.4,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Microsoft role Senior NLP Engineer; 6.8 years total. Relevant fit comes from Senior NLP Engineer at Saarthi.ai: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Additional evidence: Senior NLP Engineer at Microsoft: Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. Main concern: 90-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Senior NLP Engineer at Saarthi.ai: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight | Senior NLP Engineer at Microsoft: Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months | relevant work spans 3 roles and about 6 years",90-day notice period | stale platform activity,"TensorFlow, Machine Learning, Hugging Face Transformers, gRPC, QLoRA, pgvector, NLP, Elasticsearch, Vector Search, Milvus","Senior NLP Engineer at Microsoft: Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. The system combined collaborative filtering (matrix fact | Senior NLP Engineer at Paytm: Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. The system combined collaborative filtering (matrix fact | Senior NLP Engineer at Saarthi.ai: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an"
14,CAND_0060054,0.9876028787116657,1.0400255,0.8303350148466628,local-sentence-transformer,AI Engineer,Mad Street Den,6.4,"Jaipur, Rajasthan",India,12,3,76,76,True,1.0,0.82,0.5853,1.0,1.0,0.5,0.4,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Mad Street Den role AI Engineer; 6.4 years total. Relevant fit comes from AI Engineer at Mad Street Den: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Additional evidence: Recommendation Systems Engineer at Zomato: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. Rank is based on shipped retrieval/ranking work rather than skill-list claims. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","AI Engineer at Mad Street Den: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Recommendation Systems Engineer at Zomato: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking | relevant work spans 3 roles and about 6 years",,"Diffusion Models, TensorFlow, Weaviate, FAISS, Time Series, Feature Engineering, Prompt Engineering, Elasticsearch, Semantic Search, Recommendation Systems","AI Engineer at Mad Street Den: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Recommendation Systems Engineer at Zomato: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo | AI Engineer at Uber: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga"
15,CAND_0086151,0.9734429209165303,1.0177027,0.8406635836661209,local-sentence-transformer,Recommendation Systems Engineer,Wysa,7.7,"Vizag, Andhra Pradesh",India,12,3,91,91,True,1.0,0.82,0.7132200000000002,0.25,1.0,0.5,0.4,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"7.7 years in the profile and currently Recommendation Systems Engineer at Wysa. Key career evidence is Search Engineer at Glance: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The profile also shows AI Engineer at Meta: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Main concern: 120-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Search Engineer at Glance: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking | AI Engineer at Meta: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | relevant work spans 3 roles and about 7 years",120-day notice period,"Figma, LangChain, BentoML, Data Science, Snowflake, Recommendation Systems, Qdrant, OpenSearch, Embeddings, PEFT","Recommendation Systems Engineer at Wysa: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Search Engineer at Glance: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo | AI Engineer at Meta: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n"
16,CAND_0030953,0.971866885502552,1.0265218333333332,0.8079020420102081,local-sentence-transformer,Search Engineer,Nykaa,7.8,"Chennai, Tamil Nadu",India,13,4,85,92,True,1.0,0.58,0.5757666666666665,0.75,0.995,0.5,0.6,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Search Engineer at Nykaa, with 7.8 years of experience. The rank is driven by Search Engineer at Nykaa: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Supporting signal: NLP Engineer at Niramai: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. Main concern: 45-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.",Search Engineer at Nykaa: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes | NLP Engineer at Niramai: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking | relevant work spans 4 roles and about 7 years,45-day notice period,"TTS, MLOps, Learning to Rank, Databricks, Time Series, ASR, Qdrant, Reinforcement Learning, Python, Hugging Face Transformers","Search Engineer at Nykaa: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga | NLP Engineer at Niramai: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo | Applied ML Engineer at Vedantu: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n"
17,CAND_0061265,0.9711842575410534,1.0136501333333334,0.8437866301642136,local-sentence-transformer,Recommendation Systems Engineer,Zoho,6.6,"Delhi, Delhi",India,10,2,42,78,True,1.0,1.0,0.7938133333333335,0.25,1.0,0.375,0.8,False,False,False,False,,,none,production scale and operations;semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization;recommendation and personalization,"Recommendation Systems Engineer at Zoho, with 6.6 years of experience. The rank is driven by Recommendation Systems Engineer at Zoho: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Supporting signal: Senior Data Scientist at Paytm: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Main concern: 120-day notice period. Semantic retrieval aligns the profile with production scale and operations, semantic retrieval and information retrieval, and end-to-end ownership.","Recommendation Systems Engineer at Zoho: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Senior Data Scientist at Paytm: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | relevant work spans 2 roles and about 3 years",120-day notice period,"Qdrant, SQL, Accounting, LangChain, Learning to Rank, Vector Search, Hugging Face Transformers, QLoRA, Embeddings, Time Series","Recommendation Systems Engineer at Zoho: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Senior Data Scientist at Observe.AI: Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now use | Senior Data Scientist at Paytm: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli"
18,CAND_0043228,0.9617392283231816,1.0116962666666667,0.8118681132927261,local-sentence-transformer,Applied ML Engineer,Zoho,6.8,"Chennai, Tamil Nadu",India,10,2,36,80,True,1.0,0.58,0.6605600000000001,1.0,0.8583333333333333,0.5,0.8,False,False,False,False,,,none,production scale and operations;semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization;recommendation and personalization,"6.8 years; Applied ML Engineer at Zoho. Strongest evidence: Search Engineer at Yellow.ai: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Also, Applied ML Engineer at Zoho: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. This fits the hands-on search/ranking and evaluation mandate. Semantic retrieval aligns the profile with production scale and operations, semantic retrieval and information retrieval, and end-to-end ownership.","Search Engineer at Yellow.ai: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Applied ML Engineer at Zoho: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months | relevant work spans 2 roles and about 3 years",,"BigQuery, NLP, ASR, Hugging Face Transformers, FastAPI, Haystack, Image Classification, Machine Learning, Vector Search, Sentence Transformers","Applied ML Engineer at Zoho: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Applied ML Engineer at Vedantu: Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now use | Search Engineer at Yellow.ai: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n"
19,CAND_0081686,0.9602458064644612,1.0053285666666667,0.824997525857845,local-sentence-transformer,Search Engineer,Netflix,6.0,Austin,USA,12,3,71,71,True,1.0,0.05,0.6836733333333332,0.75,1.0,0.5,0.6,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Netflix role Search Engineer; 6.0 years total. Relevant fit comes from Recommendation Systems Engineer at Niramai: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Additional evidence: AI Engineer at Zoho: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. Main concern: 60-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Recommendation Systems Engineer at Niramai: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | AI Engineer at Zoho: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking | relevant work spans 3 roles and about 5 years",60-day notice period | location/relocation fit is weak,"Machine Learning, Kubeflow, Embeddings, FAISS, Feature Engineering, OpenCV, Milvus, BigQuery, CNN, Python","Search Engineer at Netflix: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Recommendation Systems Engineer at Niramai: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | AI Engineer at Zoho: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo"
20,CAND_0057563,0.9598909063945056,1.0090021333333334,0.812557225578022,local-sentence-transformer,NLP Engineer,Locobuzz,6.8,"Indore, Madhya Pradesh",India,12,3,80,80,True,1.0,0.82,0.6503466666666667,0.75,1.0,0.375,0.4,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"6.8 years in the profile and currently NLP Engineer at Locobuzz. Key career evidence is Machine Learning Engineer at Yellow.ai: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The profile also shows Senior Data Scientist at Zoho: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Main concern: 60-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Machine Learning Engineer at Yellow.ai: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking | Senior Data Scientist at Zoho: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | relevant work spans 3 roles and about 6 years",60-day notice period,"Deep Learning, Speech Recognition, RAG, Rust, Elasticsearch, Feature Engineering, OpenSearch, SQL, QLoRA, Prompt Engineering","NLP Engineer at Locobuzz: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Machine Learning Engineer at Yellow.ai: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo | Senior Data Scientist at Zoho: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n"
21,CAND_0053695,0.9569109146682644,1.0013630999999998,0.823554358673058,local-sentence-transformer,Recommendation Systems Engineer,Meesho,5.8,"Bhubaneswar, Odisha",India,14,3,68,68,True,0.88,0.58,0.7793266666666668,1.0,1.0,0.5,0.2,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"5.8 years in the profile and currently Recommendation Systems Engineer at Meesho. Key career evidence is Recommendation Systems Engineer at Meesho: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. The profile also shows Applied ML Engineer at Niramai: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Overall fit is strong for product ML ownership and ranking evaluation. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Recommendation Systems Engineer at Meesho: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes | Applied ML Engineer at Niramai: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | relevant work spans 3 roles and about 5 years",,"MLOps, Apache Flink, GCP, Pinecone, CNN, Weights & Biases, ASR, LangChain, Object Detection, Recommendation Systems","Recommendation Systems Engineer at Meesho: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga | Machine Learning Engineer at Genpact AI: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Applied ML Engineer at Niramai: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n"
22,CAND_0044883,0.9554278376988572,1.0031899999999998,0.8121413507954298,local-sentence-transformer,AI Engineer,Mad Street Den,6.3,Berlin,Germany,11,2,46,74,True,1.0,0.3,0.7206666666666666,0.5,1.0,0.5,0.4,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"6.3 years in the profile and currently AI Engineer at Mad Street Den. Key career evidence is Recommendation Systems Engineer at Meesho: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. The profile also shows Recommendation Systems Engineer at Paytm: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Main concern: 90-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Recommendation Systems Engineer at Meesho: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Recommendation Systems Engineer at Paytm: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes | relevant work spans 2 roles and about 3 years",90-day notice period | location/relocation fit is weak,"CNN, BM25, Computer Vision, Prompt Engineering, Embeddings, Data Science, QLoRA, ASR, Fine-tuning LLMs, TensorFlow","AI Engineer at Mad Street Den: Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) a | Search Engineer at Adobe: Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now use | Recommendation Systems Engineer at Meesho: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n"
23,CAND_0028793,0.9507685295758499,0.9934759333333333,0.8226463183033996,local-sentence-transformer,Search Engineer,Google,7.2,"Trivandrum, Kerala",India,11,2,45,85,True,1.0,0.82,0.8210266666666666,0.25,1.0,0.5,0.6,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"Search Engineer at Google, with 7.2 years of experience. The rank is driven by Search Engineer at Google: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Supporting signal: Machine Learning Engineer at Meesho: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Main concern: 120-day notice period. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","Search Engineer at Google: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Machine Learning Engineer at Meesho: Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes | relevant work spans 2 roles and about 3 years",120-day notice period,"SAP, Kubeflow, Embeddings, Haystack, YOLO, LoRA, PowerPoint, Learning to Rank, Information Retrieval, PEFT","Search Engineer at Google: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Senior Data Scientist at Amazon: Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) a | Machine Learning Engineer at Meesho: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga"
24,CAND_0079387,0.9345827745458436,0.9708099333333332,0.825901298183375,local-sentence-transformer,AI Engineer,Microsoft,6.9,"Trivandrum, Kerala",India,9,2,41,81,True,1.0,0.58,0.87476,1.0,1.0,0.5,0.8,False,False,False,False,,,none,production scale and operations;ranking evaluation and experimentation;semantic retrieval and information retrieval;ranking and relevance optimization;recommendation and personalization,"6.9 years in the profile and currently AI Engineer at Microsoft. Key career evidence is AI Engineer at Microsoft: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The profile also shows AI Engineer at BYJU'S: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Overall fit is strong for product ML ownership and ranking evaluation. Semantic retrieval aligns the profile with production scale and operations, ranking evaluation and experimentation, and semantic retrieval and information retrieval.","AI Engineer at Microsoft: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking | AI Engineer at BYJU'S: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | relevant work spans 2 roles and about 3 years",,"scikit-learn, Recommendation Systems, Python, Time Series, Sentence Transformers, JavaScript, Illustrator, Vector Search, Next.js, OpenSearch","AI Engineer at Microsoft: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo | NLP Engineer at upGrad: Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) a | Applied ML Engineer at Ola: Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now use"
25,CAND_0051292,0.9331643982201441,0.9773695476247852,0.8005489500062204,local-sentence-transformer,Applied ML Engineer,Freshworks,5.2,"Trivandrum, Kerala",India,11,2,44,60,True,0.88,0.58,0.7699870749938622,1.0,1.0,0.5,0.4,False,False,False,False,,,none,ranking evaluation and experimentation;semantic retrieval and information retrieval;end-to-end ownership;ranking and relevance optimization;recommendation and personalization,"5.2 years; Applied ML Engineer at Freshworks. Strongest evidence: Search Engineer at Vedantu: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Also, Search Engineer at Vedantu: Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control). This fits the hands-on search/ranking and evaluation mandate. Semantic retrieval aligns the profile with ranking evaluation and experimentation, semantic retrieval and information retrieval, and end-to-end ownership.","Search Engineer at Vedantu: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments | Search Engineer at Vedantu: Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control) | LLM or embedding-model tuning appears in career or skill evidence",,"Vue.js, pgvector, FAISS, BentoML, LLMs, Time Series, Vector Search, PEFT, TTS, Fine-tuning LLMs","Applied ML Engineer at Freshworks: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Search Engineer at Vedantu: Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Search Engineer at Vedantu: Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) a"
